Víctimas por año Corte AGOSTO DE 2024

FECHA_CORTE,NOM_RPT,VIGENCIA,SEXO,ETNIA,DISCAPACIDAD,CICLO_VITAL,PER_OCU,EVENTOS
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 29 y 59","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Multiple","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Multiple","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 12 y 17","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 18 y 28","12","12",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 29 y 59","45","51",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 60 y 110","22","24",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Por Establecer","entre 60 y 110","4","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Visual","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Visual","entre 29 y 59","1","1",
